year,country,tariff,polity,pop,gdp.pc,intresmi,signed,fiveop,usheg
1981,SriLanka,NA,6,14988000,461.023590087891,1.93734729290009,0,12.3999996185303,0.259311199188232
1982,SriLanka,NA,5,15189000,473.763397216797,1.96442985534668,0,12.5,0.255800783634186
1983,SriLanka,41.2999992370605,5,15417000,489.2265625,1.66393625736237,1,12.3000001907349,0.26550218462944
1984,SriLanka,NA,5,15599000,508.173919677734,2.79746222496033,0,12.3000001907349,0.29880091547966
1985,SriLanka,31,5,15837000,525.560852050781,2.25911593437195,0,12.3000001907349,0.295243144035339
1986,SriLanka,NA,5,16117000,538.923706054688,1.83254861831665,0,12.5,0.288656324148178
1987,SriLanka,27.2999992370605,5,16361000,540.047485351562,1.42298293113708,0,12.5,0.273409217596054
1988,SriLanka,27.2999992370605,5,16587000,545.861022949219,1.0596239566803,1,12.6000003814697,0.275646895170212
1989,SriLanka,NA,5,16806000,551.135314941406,1.1375572681427,0,12.6000003814697,0.278538733720779
1990,SriLanka,28.2999992370605,5,16993000,579.954833984375,1.6636323928833,0,12.6999998092651,0.26083317399025
1991,SriLanka,26.8999996185303,5,17247000,597.69873046875,2.28521299362183,1,12.8000001907349,0.258987247943878
1992,SriLanka,25,5,17405000,618.332946777344,2.87787675857544,NA,13.1000003814697,0.262301683425903
1993,SriLanka,24.2000007629395,5,17628420,652.620483398438,4.28036117553711,0,13.1999998092651,0.281292796134949
1994,SriLanka,26,5,17865000,680.040832519531,4.38991212844849,0,13.1999998092651,0.278358489274979
1995,SriLanka,20,5,18112000,707.659057617188,3.99591898918152,0,13.1999998092651,0.262719452381134
1996,SriLanka,NA,5,18300000,727.00390625,3.67676281929016,0,13.1999998092651,0.26816999912262
1997,SriLanka,20,5,18552000,763.063781738281,3.51430082321167,0,13.1999998092651,0.284403562545776
1998,SriLanka,NA,5,18778000,789.30029296875,NA,0,NA,0.295667797327042
1999,SriLanka,NA,6,18985000,814.268615722656,NA,0,NA,0.308314651250839
1981,India,74.3000030517578,8,702821248,236.089431762695,5.54284572601318,1,12.3999996185303,0.259311199188232
1982,India,NA,8,718425600,239.694702148438,5.9615273475647,0,12.5,0.255800783634186
1983,India,NA,8,734071936,252.007415771484,5.67877388000488,0,12.3000001907349,0.26550218462944
1984,India,NA,8,749676928,255.838073730469,5.61511564254761,0,12.3000001907349,0.29880091547966
1985,India,NA,8,765147008,264.372863769531,5.67779493331909,0,12.3000001907349,0.295243144035339
1986,India,100,8,781892992,271.308837890625,6.06229782104492,0,12.5,0.288656324148178
1987,India,98.8000030517578,8,798680000,278.273712158203,5.7676215171814,0,12.5,0.273409217596054
1988,India,NA,8,815590016,299.546051025391,3.89564847946167,0,12.6000003814697,0.275646895170212
1989,India,NA,8,832534976,312.736053466797,3.25545144081116,0,12.6000003814697,0.278538733720779
1990,India,81.8000030517578,8,849515008,323.834930419922,2.01279878616333,0,12.6999998092651,0.26083317399025
1991,India,79.1999969482422,8,866530432,318.820007324219,3.29701256752014,1,12.8000001907349,0.258987247943878
1992,India,53,8,882300032,330.094116210938,3.69849348068237,0,13.1000003814697,0.262301683425903
1993,India,47.7999992370605,8,898200000,340.317199707031,5.12008237838745,0,13.1999998092651,0.281292796134949
1994,India,47.7999992370605,8,913600000,359.139770507812,6.35806131362915,0,13.1999998092651,0.278358489274979
1995,India,41,9,929358016,380.071197509766,4.87191772460938,0,13.1999998092651,0.262719452381134
1996,India,38.7000007629395,9,945611776,399.506774902344,4.92657947540283,0,13.1999998092651,0.26816999912262
1997,India,35,9,962377664,410.468841552734,5.3202862739563,0,13.1999998092651,0.284403562545776
1998,India,30,9,979672896,430.463195800781,5.69122266769409,0,NA,0.295667797327042
1999,India,32.2000007629395,9,997515200,450.243255615234,NA,0,NA,0.308314651250839
1981,Indonesia,NA,-7,151304976,534.108276367188,2.91804122924805,0,12.3999996185303,0.259311199188232
1982,Indonesia,NA,-7,154244608,529.713684082031,2.04818868637085,0,12.5,0.255800783634186
1983,Indonesia,NA,-7,157156544,563.829650878906,2.23538374900818,0,12.3000001907349,0.26550218462944
1984,Indonesia,37,-7,160075456,593.249755859375,2.84424519538879,0,12.3000001907349,0.29880091547966
1985,Indonesia,27,-7,163036000,602.73291015625,3.24474024772644,0,12.3000001907349,0.295243144035339
1986,Indonesia,31.5,-7,166015056,627.22216796875,3.13650393486023,0,12.5,0.288656324148178
1987,Indonesia,NA,-7,168989536,648.839782714844,4.01848554611206,0,12.5,0.273409217596054
1988,Indonesia,NA,-7,171994064,678.023071289062,3.2952880859375,NA,12.6000003814697,0.275646895170212
1989,Indonesia,25.2000007629395,-7,175063344,726.651672363281,2.99327039718628,0,12.6000003814697,0.278538733720779
1990,Indonesia,20.6000003814697,-7,178232000,777.981201171875,3.13746666908264,0,12.6999998092651,0.26083317399025
1991,Indonesia,20.2999992370605,-7,181397024,832.650207519531,3.27992033958435,0,12.8000001907349,0.258987247943878
1992,Indonesia,20,-7,184556192,877.498474121094,3.33166193962097,0,13.1000003814697,0.262301683425903
1993,Indonesia,19.3999996185303,-7,187707264,925.345520019531,3.38379144668579,0,13.1999998092651,0.281292796134949
1994,Indonesia,NA,-7,190847968,978.740966796875,3.23073744773865,0,13.1999998092651,0.278358489274979
1995,Indonesia,NA,-7,193976000,1042.04663085938,2.90213894844055,0,13.1999998092651,0.262719452381134
1996,Indonesia,13.1999998092651,-7,197156480,1105.46203613281,3.49496006965637,0,13.1999998092651,0.26816999912262
1997,Indonesia,NA,-7,200390288,1138.73950195312,2.95480823516846,1,13.1999998092651,0.284403562545776
1998,Indonesia,9.5,-5,203678368,974.628723144531,5.25772047042847,0,NA,0.295667797327042
1999,Indonesia,10.8999996185303,7,207021616,961.837585449219,NA,0,NA,0.308314651250839
1981,Korea,NA,-5,38723000,3937.61254882812,1.05706417560577,1,12.3999996185303,0.259311199188232
1982,Korea,23.7000007629395,-5,39326000,4171.42041015625,1.1417191028595,0,12.5,0.255800783634186
1983,Korea,23.7000007629395,-5,39910000,4583.00390625,0.921949684619904,1,12.3000001907349,0.26550218462944
1984,Korea,21.8999996185303,-5,40406000,4919.52587890625,0.972946226596832,0,12.3000001907349,0.29880091547966
1985,Korea,NA,-5,40806000,5190.24853515625,1.0485235452652,1,12.3000001907349,0.295243144035339
1986,Korea,NA,-5,41184000,5736.82763671875,1.09331977367401,0,12.5,0.288656324148178
1987,Korea,22.8999996185303,NA,41575000,6337.46484375,0.951634347438812,0,12.5,0.273409217596054
1988,Korea,18.8999996185303,6,41975000,6984.63232421875,2.58695602416992,0,12.6000003814697,0.275646895170212
1989,Korea,14.8999996185303,6,42380000,7359.56005859375,2.67012071609497,0,12.6000003814697,0.278538733720779
1990,Korea,13.3000001907349,6,42869000,7967.390625,2.25596165657043,0,12.6999998092651,0.26083317399025
1991,Korea,11.3999996185303,6,43268000,8622.3134765625,1.79051184654236,0,12.8000001907349,0.258987247943878
1992,Korea,10.1000003814697,6,43663000,9008.916015625,2.18990159034729,0,13.1000003814697,0.262301683425903
1993,Korea,8.89999961853027,6,44056000,9418.8623046875,2.498863697052,0,13.1999998092651,0.281292796134949
1994,Korea,NA,6,44453000,10104.8681640625,2.58171081542969,0,13.1999998092651,0.278358489274979
1995,Korea,NA,6,44995000,10873.6015625,2.46540784835815,0,13.1999998092651,0.262719452381134
1996,Korea,13.3999996185303,6,45545000,11467.4052734375,2.27711939811707,0,13.1999998092651,0.26816999912262
1997,Korea,13.3000001907349,6,45991000,11925.2626953125,1.38252258300781,1,13.1999998092651,0.284403562545776
1998,Korea,11.1000003814697,8,46430000,11022.3310546875,5.09233808517456,0,NA,0.295667797327042
1999,Korea,8.69999980926514,8,46858000,12086.232421875,NA,0,NA,0.308314651250839
1981,Malaysia,10.6000003814697,4,14105080,2397.00146484375,3.6918523311615,0,12.3999996185303,0.259311199188232
1982,Malaysia,NA,4,14465810,2476.08129882812,3.24550843238831,0,12.5,0.255800783634186
1983,Malaysia,NA,4,14847000,2563.29663085938,2.84549307823181,0,12.3000001907349,0.26550218462944
1984,Malaysia,NA,4,15250250,2689.21801757812,2.57486915588379,0,12.3000001907349,0.29880091547966
1985,Malaysia,NA,4,15677000,2586.6552734375,3.70580816268921,0,12.3000001907349,0.295243144035339
1986,Malaysia,15.8000001907349,4,16143010,2540.935546875,5.09675168991089,0,12.5,0.288656324148178
1987,Malaysia,13.6000003814697,4,16633580,2598.88037109375,5.56529664993286,0,12.5,0.273409217596054
1988,Malaysia,13,4,17144390,2772.02221679688,3.94408345222473,0,12.6000003814697,0.275646895170212
1989,Malaysia,17,4,17669600,2933.26611328125,3.65908789634705,0,12.6000003814697,0.278538733720779
1990,Malaysia,NA,4,18201900,3104.03344726562,3.60441446304321,0,12.6999998092651,0.26083317399025
1991,Malaysia,16.8999996185303,4,18656950,3317.39282226562,3.2112672328949,0,12.8000001907349,0.258987247943878
1992,Malaysia,12.8000001907349,4,19127100,3523.359375,4.43574285507202,0,13.1000003814697,0.262301683425903
1993,Malaysia,14.3000001907349,4,19609110,3776.81665039062,5.83748912811279,0,13.1999998092651,0.281292796134949
1994,Malaysia,13,4,20103260,4023.34985351562,4.31341409683228,0,13.1999998092651,0.278358489274979
1995,Malaysia,NA,3,20609860,4310.19189453125,3.16588854789734,0,13.1999998092651,0.262719452381134
1996,Malaysia,8.69999980926514,3,21129230,4624.78271484375,3.42464685440063,0,13.1999998092651,0.26816999912262
1997,Malaysia,9.10000038146973,3,21667000,4840.251953125,2.60022497177124,0,13.1999998092651,0.284403562545776
1998,Malaysia,7.09999990463257,3,22180000,4379.9423828125,NA,0,NA,0.295667797327042
1999,Malaysia,NA,4,22710000,4525.9541015625,NA,0,NA,0.308314651250839
1981,Nepal,NA,-2,14874560,156.354354858398,7.74008083343506,0,12.3999996185303,0.259311199188232
1982,Nepal,NA,-2,15262920,158.134826660156,7.76784324645996,0,12.5,0.255800783634186
1983,Nepal,22.1000003814697,-2,15663490,149.502868652344,4.73322820663452,0,12.3000001907349,0.26550218462944
1984,Nepal,NA,-2,16076710,159.761749267578,3.60140180587769,0,12.3000001907349,0.29880091547966
1985,Nepal,NA,-2,16503000,165.198547363281,2.40107941627502,1,12.3000001907349,0.295243144035339
1986,Nepal,NA,-2,16938310,168.301544189453,3.05735492706299,0,12.5,0.288656324148178
1987,Nepal,21,-2,17382740,166.779312133789,4.93774271011353,1,12.5,0.273409217596054
1988,Nepal,22.6000003814697,-2,17836420,175.047348022461,4.44695663452148,0,12.6000003814697,0.275646895170212
1989,Nepal,NA,-2,18299470,178.005111694336,4.26878786087036,0,12.6000003814697,0.278538733720779
1990,Nepal,NA,5,18772000,181.567276000977,5.49287176132202,0,12.6999998092651,0.26083317399025
1991,Nepal,NA,5,19253590,188.29899597168,6.15046691894531,0,12.8000001907349,0.258987247943878
1992,Nepal,NA,5,19744320,191.159103393555,6.66670370101929,1,13.1000003814697,0.262301683425903
1993,Nepal,16.1000003814697,5,20244250,193.616058349609,7.93460369110107,0,13.1999998092651,0.281292796134949
1994,Nepal,NA,5,20753450,204.382751464844,7.03884220123291,0,13.1999998092651,0.278358489274979
1995,Nepal,11,5,21272000,206.316589355469,5.06568193435669,0,13.1999998092651,0.262719452381134
1996,Nepal,NA,5,21794680,212.098205566406,4.5800461769104,0,13.1999998092651,0.26816999912262
1997,Nepal,NA,5,22321160,217.550994873047,4.26967334747314,0,13.1999998092651,0.284403562545776
1998,Nepal,16.2999992370605,5,22851110,218.785064697266,5.74701690673828,0,NA,0.295667797327042
1999,Nepal,17.7000007629395,6,23384180,222.216171264648,NA,0,NA,0.308314651250839
1981,Pakistan,NA,-7,85096000,333.40966796875,2.55956101417542,0,12.3999996185303,0.259311199188232
1982,Pakistan,77.5999984741211,-7,87436144,345.699523925781,3.04792284965515,0,12.5,0.255800783634186
1983,Pakistan,77,-7,89831888,359.287872314453,4.51253271102905,0,12.3000001907349,0.26550218462944
1984,Pakistan,77,-7,92284304,367.455017089844,2.51393294334412,0,12.3000001907349,0.29880091547966
1985,Pakistan,77,-4,94794432,384.8837890625,2.20842003822327,0,12.3000001907349,0.295243144035339
1986,Pakistan,66,-4,97353880,395.383422851562,2.20225882530212,0,12.5,0.288656324148178
1987,Pakistan,68.9000015258789,-4,99953232,409.949249267578,2.21894478797913,0,12.5,0.273409217596054
1988,Pakistan,69,8,102621984,429.735107421875,1.543940782547,1,12.6000003814697,0.275646895170212
1989,Pakistan,65,8,105269632,439.70458984375,1.60293030738831,0,12.6000003814697,0.278538733720779
1990,Pakistan,64.8000030517578,8,107975056,447.800720214844,1.20452320575714,0,12.6999998092651,0.26083317399025
1991,Pakistan,66,8,110750016,460.392120361328,1.23994135856628,0,12.8000001907349,0.258987247943878
1992,Pakistan,61.0999984741211,8,113561960,484.169982910156,1.42819690704346,0,13.1000003814697,0.262301683425903
1993,Pakistan,56,8,116444160,481.227966308594,1.6599897146225,1,13.1999998092651,0.281292796134949
1994,Pakistan,51,8,119401848,487.589385986328,3.49478197097778,1,13.1999998092651,0.278358489274979
1995,Pakistan,50.7000007629395,8,122374952,500.100646972656,2.04521465301514,1,13.1999998092651,0.262719452381134
1996,Pakistan,41.7000007629395,8,125409848,506.816864013672,0.90356856584549,0,13.1999998092651,0.26816999912262
1997,Pakistan,NA,7,128457312,499.813354492188,1.28615891933441,0,13.1999998092651,0.284403562545776
1998,Pakistan,46.5,7,131582000,500.380187988281,NA,0,NA,0.295667797327042
1999,Pakistan,NA,-6,134790000,507.830841064453,NA,0,NA,0.308314651250839
1981,Philippines,34.5999984741211,-8,49740480,1171.41528320312,2.93289923667908,0,12.3999996185303,0.259311199188232
1982,Philippines,31.3999996185303,-7,51039800,1182.91259765625,1.78648400306702,0,12.5,0.255800783634186
1983,Philippines,29.5,-6,52262480,1176.89465332031,0.904283344745636,1,12.3000001907349,0.26550218462944
1984,Philippines,28.7999992370605,-6,53456040,1066.349609375,1.04495012760162,0,12.3000001907349,0.29880091547966
1985,Philippines,27.6000003814697,-6,54668000,966.522521972656,1.58185195922852,0,12.3000001907349,0.295243144035339
1986,Philippines,27.8999996185303,NA,55866680,978.100158691406,3.8589563369751,1,12.5,0.288656324148178
1987,Philippines,27.8999996185303,8,57020400,999.628662109375,2.72255825996399,0,12.5,0.273409217596054
1988,Philippines,27.8999996185303,8,58176680,1045.91955566406,2.19989013671875,0,12.6000003814697,0.275646895170212
1989,Philippines,27.6000003814697,8,59383040,1088.25573730469,1.95865428447723,1,12.6000003814697,0.278538733720779
1990,Philippines,27.7999992370605,8,60687000,1097.21264648438,1.48657166957855,0,12.6999998092651,0.26083317399025
1991,Philippines,26,8,62148312,1065.21728515625,3.2610878944397,1,12.8000001907349,0.258987247943878
1992,Philippines,24.2999992370605,8,63644808,1043.68212890625,3.34578561782837,0,13.1000003814697,0.262301683425903
1993,Philippines,22.6000003814697,8,65177340,1040.7099609375,3.15259528160095,0,13.1999998092651,0.281292796134949
1994,Philippines,21.7000007629395,8,66746768,1060.82836914062,3.06278610229492,0,13.1999998092651,0.278358489274979
1995,Philippines,20,8,68354000,1084.3505859375,2.60579109191895,1,13.1999998092651,0.262719452381134
1996,Philippines,14.3000001907349,8,69913752,1122.13464355469,3.1971263885498,0,13.1999998092651,0.26816999912262
1997,Philippines,13.3999996185303,8,71421040,1155.41162109375,1.95471107959747,0,13.1999998092651,0.284403562545776
1998,Philippines,10.6999998092651,7,72871008,1123.79345703125,3.041907787323,1,NA,0.295667797327042
1999,Philippines,10.1000003814697,7,74258872,1137.79833984375,NA,0,NA,0.308314651250839
1981,Thailand,32.2999992370605,2,47688900,1161.36145019531,2.72210764884949,1,12.3999996185303,0.259311199188232
1982,Thailand,NA,2,48633368,1199.76049804688,3.02659749984741,1,12.5,0.255800783634186
1983,Thailand,NA,2,49535192,1243.69543457031,2.47784376144409,0,12.3000001907349,0.26550218462944
1984,Thailand,NA,2,50378140,1293.23095703125,2.53943943977356,0,12.3000001907349,0.29880091547966
1985,Thailand,41.2000007629395,2,51146000,1333.01281738281,3.0223274230957,1,12.3000001907349,0.295243144035339
1986,Thailand,NA,2,51952480,1384.94152832031,3.74103927612305,0,12.5,0.288656324148178
1987,Thailand,NA,2,52799040,1492.45397949219,3.81999778747559,0,12.5,0.273409217596054
1988,Thailand,NA,3,53687208,1662.8017578125,3.61402177810669,0,12.6000003814697,0.275646895170212
1989,Thailand,40.7999992370605,3,54618620,1833.69323730469,4.25666570663452,0,12.6000003814697,0.278538733720779
1990,Thailand,39.7999992370605,3,55595000,2002.66455078125,4.41170454025269,0,12.6999998092651,0.26083317399025
1991,Thailand,37.7999992370605,-1,56454008,2140.97705078125,4.84116506576538,0,12.8000001907349,0.258987247943878
1992,Thailand,NA,9,57189720,2284.27197265625,5.09736061096191,0,13.1000003814697,0.262301683425903
1993,Thailand,45.5999984741211,9,57796980,2449.76684570312,5.38309574127197,0,13.1999998092651,0.281292796134949
1994,Thailand,23.2999992370605,9,58271528,2647.3427734375,5.3520565032959,0,13.1999998092651,0.278358489274979
1995,Thailand,23.1000003814697,9,58610000,2866.3427734375,5.02949953079224,0,13.1999998092651,0.262719452381134
1996,Thailand,NA,9,58976152,3017.3818359375,5.10521364212036,0,13.1999998092651,0.26816999912262
1997,Thailand,NA,9,59370472,2946.91430664062,4.05185508728027,NA,13.1999998092651,0.284403562545776
1998,Thailand,20.1000003814697,9,59793500,2628.50048828125,NA,0,NA,0.295667797327042
1999,Thailand,17.1000003814697,9,60245800,2717.21850585938,NA,0,NA,0.308314651250839
